Order Date,Date,Quarter,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Price,Quantity,Discount,Total sales,Profit
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Lorain,Ohio,East,Furniture,Furnishings,48.9,4,0.2,156.47,8.56
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,474.43,11,0,5218.73,199.26
1/1/2020,Jan-22,Q1,First Class,Home Office,Franklin,Wisconsin,Central,Office Supplies,Binders,3.6,2,0,7.2,1.73
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Storage,454.56,5,0.2,1818.24,-107.96
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Huntsville,Texas,Central,Furniture,Furnishings,141.42,5,0.6,282.84,-187.38
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Huntsville,Texas,Central,Furniture,Chairs,310.74,4,0.3,870.08,-26.64
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Art,12.74,4,0.2,40.76,2.23
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Binders,6.47,5,0.8,6.47,-9.71
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Binders,13.75,14,0.8,38.49,-22.68
1/1/2020,Jan-22,Q1,Standard Class,Consumer,Huntsville,Texas,Central,Office Supplies,Appliances,15.22,2,0.8,6.09,-38.82
2/1/2020,Jan-22,Q1,First Class,Corporate,Jacksonville,North Carolina,South,Technology,Machines,695.7,2,0.5,695.7,-27.83
2/1/2020,Jan-22,Q1,First Class,Corporate,Jacksonville,North Carolina,South,Office Supplies,Binders,15.66,5,0.7,23.49,-12.53
2/1/2020,Jan-22,Q1,First Class,Corporate,Jacksonville,North Carolina,South,Office Supplies,Binders,28.85,6,0.7,51.94,-21.16
2/1/2020,Jan-22,Q1,Second Class,Consumer,El Paso,Texas,Central,Office Supplies,Art,31.74,2,0.2,50.79,3.97
2/1/2020,Jan-22,Q1,Second Class,Consumer,El Paso,Texas,Central,Office Supplies,Appliances,5.43,2,0.8,2.17,-13.58
2/1/2020,Jan-22,Q1,Second Class,Consumer,El Paso,Texas,Central,Furniture,Tables,913.43,5,0.3,3197.01,-169.64
2/1/2020,Jan-22,Q1,Second Class,Consumer,El Paso,Texas,Central,Office Supplies,Storage,372.14,3,0.2,893.15,27.91
2/1/2020,Jan-22,Q1,Second Class,Corporate,Los Angeles,California,West,Technology,Accessories,16.59,1,0,16.59,5.81
3/1/2020,Jan-22,Q1,Standard Class,Consumer,Rancho Cucamonga,California,West,Office Supplies,Paper,38.88,6,0,233.28,18.66
3/1/2020,Jan-22,Q1,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Binders,2022.27,8,0.2,12942.54,682.52
3/1/2020,Jan-22,Q1,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,9.12,3,0,27.36,3.1
6/1/2020,Jan-22,Q1,Standard Class,Home Office,Tuscaloosa,Alabama,South,Office Supplies,Binders,33.74,7,0,236.18,15.52
7/1/2020,Jan-22,Q1,First Class,Corporate,Detroit,Michigan,Central,Technology,Machines,3059.98,2,0.1,5507.97,680
7/1/2020,Jan-22,Q1,Standard Class,Consumer,Ormond Beach,Florida,South,Office Supplies,Binders,2.81,3,0.7,2.53,-1.97
7/1/2020,Jan-22,Q1,Second Class,Consumer,Long Beach,California,West,Office Supplies,Storage,153.78,11,0,1691.58,44.6
7/1/2020,Jan-22,Q1,Second Class,Consumer,Long Beach,California,West,Office Supplies,Storage,61.02,3,0,183.06,0.61
7/1/2020,Jan-22,Q1,Second Class,Consumer,Long Beach,California,West,Office Supplies,Supplies,110.11,7,0,770.77,31.93
7/1/2020,Jan-22,Q1,Second Class,Consumer,Long Beach,California,West,Office Supplies,Fasteners,7.89,1,0,7.89,3.55
8/1/2020,Jan-22,Q1,First Class,Corporate,Seattle,Washington,West,Furniture,Tables,892.98,2,0,1785.96,80.37
